suburb,postcode,lat,long,prop_type,num_bedrooms,year,price
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,1,2008,390000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,1,2009,335000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,1,2010,464000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,1,2011,561000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,1,2012,580500
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,1,2013,608000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,1,2014,452000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,1,2015,499000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,2,2008,581250
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,2,2009,628000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,2,2010,715500
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,2,2011,681750
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,2,2012,680000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,2,2013,701000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,2,2014,770250
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,2,2015,872500
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,2,2016,1021250
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,3,2008,675000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,3,2009,747500
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,3,2010,838100
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,3,2011,800000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,3,2012,847000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,3,2013,860000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,3,2014,906000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,3,2015,1110000
ABBOTSFORD,3067,-37.801781,144.998752,HOUSE,3,2016,1197500
ABBOTSFORD,3067,-37.801781,144.998752,UNIT,1,2008,347250
ABBOTSFORD,3067,-37.801781,144.998752,UNIT,1,2009,355000
ABBOTSFORD,3067,-37.801781,144.998752,UNIT,1,2010,410000
ABBOTSFORD,3067,-37.801781,144.998752,UNIT,1,2011,430550
ABBOTSFORD,3067,-37.801781,144.998752,UNIT,1,2012,335000
ABBOTSFORD,3067,-37.801781,144.998752,UNIT,1,2013,427500
ABBOTSFORD,3067,-37.801781,144.998752,UNIT,1,2014,420000
ABBOTSFORD,3067,-37.801781,144.998752,UNIT,1,2015,417500
